var1,var2,correlation
n2_n2_dimethylguanosine,n_carbamoyl_beta_alanine,0.05
n2_n2_dimethylguanosine,x4_acetamidobutanoate,0.05
n2_n2_dimethylguanosine,x4_hydroxyhippurate,0.05
n2_n2_dimethylguanosine,bilirubin,0.05
n2_n2_dimethylguanosine,biliverdin,0.05
n2_n2_dimethylguanosine,dmgv,0.4
n2_n2_dimethylguanosine,hippurate,0.05
n2_n2_dimethylguanosine,homoarginine,0.05
n6_n6_dimethyllysine,serine,0.05
n6_n6_dimethyllysine,histidine,0.05
n6_n6_dimethyllysine,lysine,0.1
n6_n6_dimethyllysine,leucine,0.05
n6_n6_dimethyllysine,tryptophan,0.05
n6_n6_dimethyllysine,proline,0.05
n6_n6_dimethyllysine,hydroxyproline,0.05
n6_n6_dimethyllysine,gaba,0.05
n6_n6_dimethyllysine,x2_aminoisobutyric_acid,0.05
n6_n6_dimethyllysine,histamine,0.05
n6_n6_dimethyllysine,n_carbamoyl_beta_alanine,0.05
n6_n6_dimethyllysine,x4_acetamidobutanoate,0.05
n6_n6_dimethyllysine,x4_hydroxyhippurate,0.05
n6_n6_dimethyllysine,bilirubin,0.05
n6_n6_dimethyllysine,biliverdin,0.05
n6_n6_dimethyllysine,dmgv,0.05
n6_n6_dimethyllysine,hippurate,0.05
n6_n6_dimethyllysine,homoarginine,0.05
n6_n6_dimethyllysine,n2_n2_dimethylguanosine,0.05
n6_methyllysine,serine,0.05
n6_methyllysine,histidine,0.05
n6_methyllysine,lysine,0.1
n6_methyllysine,leucine,0.05
n6_methyllysine,tryptophan,0.05
n6_methyllysine,proline,0.05
n6_methyllysine,hydroxyproline,0.05
n6_methyllysine,gaba,0.05
n6_methyllysine,x2_aminoisobutyric_acid,0.05
n6_methyllysine,histamine,0.05
n6_methyllysine,n_carbamoyl_beta_alanine,0.05
n6_methyllysine,x4_acetamidobutanoate,0.05
n6_methyllysine,x4_hydroxyhippurate,0.05
n6_methyllysine,bilirubin,0.05
n6_methyllysine,biliverdin,0.05
n6_methyllysine,dmgv,0.05
n6_methyllysine,hippurate,0.05
n6_methyllysine,homoarginine,0.05
n6_methyllysine,n2_n2_dimethylguanosine,0.05
n6_methyllysine,n6_n6_dimethyllysine,0.7
n_acetylputrescine,serine,0.05
n_acetylputrescine,histidine,0.05
n_acetylputrescine,lysine,0.05
n_acetylputrescine,leucine,0.05
n_acetylputrescine,tryptophan,0.05
n_acetylputrescine,proline,0.05
n_acetylputrescine,hydroxyproline,0.05
n_acetylputrescine,gaba,0.05
n_acetylputrescine,x2_aminoisobutyric_acid,0.05
n_acetylputrescine,histamine,0.05
n_acetylputrescine,n_carbamoyl_beta_alanine,0.05
n_acetylputrescine,x4_acetamidobutanoate,0.05
n_acetylputrescine,x4_hydroxyhippurate,0.05
n_acetylputrescine,bilirubin,0.05
n_acetylputrescine,biliverdin,0.05
n_acetylputrescine,dmgv,0.05
n_acetylputrescine,hippurate,0.05
n_acetylputrescine,homoarginine,0.05
n_acetylputrescine,n2_n2_dimethylguanosine,0.05
n_acetylputrescine,n6_n6_dimethyllysine,0.05
n_acetylputrescine,n6_methyllysine,0.05
trigonelline,serine,0.1
trigonelline,histidine,0.05
trigonelline,lysine,0.05
trigonelline,leucine,0.05
trigonelline,tryptophan,0.05
trigonelline,proline,0.05
trigonelline,hydroxyproline,0.05
trigonelline,gaba,0.1
trigonelline,x2_aminoisobutyric_acid,0.15
trigonelline,histamine,0.05
trigonelline,n_carbamoyl_beta_alanine,0.05
trigonelline,x4_acetamidobutanoate,0.05
trigonelline,x4_hydroxyhippurate,0.05
trigonelline,bilirubin,0.05
trigonelline,biliverdin,0.05
trigonelline,dmgv,0.05
trigonelline,hippurate,0.05
trigonelline,homoarginine,0.05
trigonelline,n2_n2_dimethylguanosine,0.05
trigonelline,n6_n6_dimethyllysine,0.05
trigonelline,n6_methyllysine,0.05
trigonelline,n_acetylputrescine,0.05
x2_aminobutyrate,serine,0.1
x2_aminobutyrate,histidine,0.1
x2_aminobutyrate,lysine,0.15
x2_aminobutyrate,leucine,0.2
x2_aminobutyrate,tryptophan,0.2
x2_aminobutyrate,proline,0.2
x2_aminobutyrate,hydroxyproline,0.2
x2_aminobutyrate,gaba,0.25
x2_aminobutyrate,x2_aminoisobutyric_acid,0.35
x2_aminobutyrate,histamine,0.1
x2_aminobutyrate,n_carbamoyl_beta_alanine,0.05
x2_aminobutyrate,x4_acetamidobutanoate,0.05
x2_aminobutyrate,x4_hydroxyhippurate,0.05
x2_aminobutyrate,bilirubin,0.05
x2_aminobutyrate,biliverdin,0.05
x2_aminobutyrate,dmgv,0.05
x2_aminobutyrate,hippurate,0.05
x2_aminobutyrate,homoarginine,0.05
x2_aminobutyrate,n2_n2_dimethylguanosine,0.05
x2_aminobutyrate,n6_n6_dimethyllysine,0.05
x2_aminobutyrate,n6_methyllysine,0.05
x2_aminobutyrate,n_acetylputrescine,0.05
x2_aminobutyrate,trigonelline,0.1
x3_hydroxymethylglutarate,serine,0.05
x3_hydroxymethylglutarate,histidine,0.05
x3_hydroxymethylglutarate,lysine,0.05
x3_hydroxymethylglutarate,leucine,0.05
x3_hydroxymethylglutarate,tryptophan,0.05
x3_hydroxymethylglutarate,proline,0.05
x3_hydroxymethylglutarate,hydroxyproline,0.05
x3_hydroxymethylglutarate,gaba,0.05
x3_hydroxymethylglutarate,x2_aminoisobutyric_acid,0.05
x3_hydroxymethylglutarate,histamine,0.05
x3_hydroxymethylglutarate,n_carbamoyl_beta_alanine,0.05
x3_hydroxymethylglutarate,x4_acetamidobutanoate,0.05
x3_hydroxymethylglutarate,x4_hydroxyhippurate,0.05
x3_hydroxymethylglutarate,bilirubin,0.05
x3_hydroxymethylglutarate,biliverdin,0.05
x3_hydroxymethylglutarate,dmgv,0.05
x3_hydroxymethylglutarate,hippurate,0.05
x3_hydroxymethylglutarate,homoarginine,0.05
x3_hydroxymethylglutarate,n2_n2_dimethylguanosine,0.05
x3_hydroxymethylglutarate,n6_n6_dimethyllysine,0.05
x3_hydroxymethylglutarate,n6_methyllysine,0.05
x3_hydroxymethylglutarate,n_acetylputrescine,0.05
x3_hydroxymethylglutarate,trigonelline,0.05
x3_hydroxymethylglutarate,x2_aminobutyrate,0.3
x3_methyladipate_pimelate,serine,0.05
x3_methyladipate_pimelate,histidine,0.05
x3_methyladipate_pimelate,lysine,0.05
x3_methyladipate_pimelate,leucine,0.05
x3_methyladipate_pimelate,tryptophan,0.05
x3_methyladipate_pimelate,proline,0.05
x3_methyladipate_pimelate,hydroxyproline,0.05
x3_methyladipate_pimelate,gaba,0.05
x3_methyladipate_pimelate,x2_aminoisobutyric_acid,0.05
x3_methyladipate_pimelate,histamine,0.05
x3_methyladipate_pimelate,n_carbamoyl_beta_alanine,0.05
x3_methyladipate_pimelate,x4_acetamidobutanoate,0.05
x3_methyladipate_pimelate,x4_hydroxyhippurate,0.05
x3_methyladipate_pimelate,bilirubin,0.05
x3_methyladipate_pimelate,biliverdin,0.05
x3_methyladipate_pimelate,dmgv,0.05
x3_methyladipate_pimelate,hippurate,0.05
x3_methyladipate_pimelate,homoarginine,0.05
x3_methyladipate_pimelate,n2_n2_dimethylguanosine,0.05
x3_methyladipate_pimelate,n6_n6_dimethyllysine,0.05
x3_methyladipate_pimelate,n6_methyllysine,0.05
x3_methyladipate_pimelate,n_acetylputrescine,0.05
x3_methyladipate_pimelate,trigonelline,0.05
x3_methyladipate_pimelate,x2_aminobutyrate,0.25
x3_methyladipate_pimelate,x3_hydroxymethylglutarate,0.5
adonitol_arabitol,serine,0.05
adonitol_arabitol,histidine,0.05
adonitol_arabitol,lysine,0.05
adonitol_arabitol,leucine,0.05
adonitol_arabitol,tryptophan,0.05
adonitol_arabitol,proline,0.05
adonitol_arabitol,hydroxyproline,0.05
adonitol_arabitol,gaba,0.05
adonitol_arabitol,x2_aminoisobutyric_acid,0.05
adonitol_arabitol,histamine,0.05
adonitol_arabitol,n_carbamoyl_beta_alanine,0.05
adonitol_arabitol,x4_acetamidobutanoate,0.05
adonitol_arabitol,x4_hydroxyhippurate,0.05
adonitol_arabitol,bilirubin,0.05
adonitol_arabitol,biliverdin,0.05
adonitol_arabitol,dmgv,0.05
adonitol_arabitol,hippurate,0.05
adonitol_arabitol,homoarginine,0.05
adonitol_arabitol,n2_n2_dimethylguanosine,0.05
adonitol_arabitol,n6_n6_dimethyllysine,0.05
adonitol_arabitol,n6_methyllysine,0.05
adonitol_arabitol,n_acetylputrescine,0.05
adonitol_arabitol,trigonelline,0.05
adonitol_arabitol,x2_aminobutyrate,0.15
adonitol_arabitol,x3_hydroxymethylglutarate,0.2
adonitol_arabitol,x3_methyladipate_pimelate,0.2
amp,serine,0.05
amp,histidine,0.05
amp,lysine,0.05
amp,leucine,0.05
amp,tryptophan,0.05
amp,proline,0.05
amp,hydroxyproline,0.05
amp,gaba,0.05
amp,x2_aminoisobutyric_acid,0.05
amp,histamine,0.05
amp,n_carbamoyl_beta_alanine,0.05
amp,x4_acetamidobutanoate,0.05
amp,x4_hydroxyhippurate,0.05
amp,bilirubin,0.05
amp,biliverdin,0.05
amp,dmgv,0.05
amp,hippurate,0.05
amp,homoarginine,0.05
amp,n2_n2_dimethylguanosine,0.05
amp,n6_n6_dimethyllysine,0.05
amp,n6_methyllysine,0.05
amp,n_acetylputrescine,0.05
amp,trigonelline,0.05
amp,x2_aminobutyrate,0.15
amp,x3_hydroxymethylglutarate,0.2
amp,x3_methyladipate_pimelate,0.15
amp,adonitol_arabitol,0.35
glucuronate,serine,0.05
glucuronate,histidine,0.05
glucuronate,lysine,0.05
glucuronate,leucine,0.05
glucuronate,tryptophan,0.05
glucuronate,proline,0.05
glucuronate,hydroxyproline,0.05
glucuronate,gaba,0.05
glucuronate,x2_aminoisobutyric_acid,0.05
glucuronate,histamine,0.05
glucuronate,n_carbamoyl_beta_alanine,0.05
glucuronate,x4_acetamidobutanoate,0.05
glucuronate,x4_hydroxyhippurate,0.05
glucuronate,bilirubin,0.05
glucuronate,biliverdin,0.05
glucuronate,dmgv,0.05
glucuronate,hippurate,0.05
glucuronate,homoarginine,0.05
glucuronate,n2_n2_dimethylguanosine,0.05
glucuronate,n6_n6_dimethyllysine,0.05
glucuronate,n6_methyllysine,0.05
glucuronate,n_acetylputrescine,0.05
glucuronate,trigonelline,0.05
glucuronate,x2_aminobutyrate,0.15
glucuronate,x3_hydroxymethylglutarate,0.15
glucuronate,x3_methyladipate_pimelate,0.1
glucuronate,adonitol_arabitol,0.25
glucuronate,amp,0.3
kynurenine,serine,0.1
kynurenine,histidine,0.1
kynurenine,lysine,0.1
kynurenine,leucine,0.15
kynurenine,tryptophan,0.2
kynurenine,proline,0.15
kynurenine,hydroxyproline,0.15
kynurenine,gaba,0.1
kynurenine,x2_aminoisobutyric_acid,0.1
kynurenine,histamine,0.05
kynurenine,n_carbamoyl_beta_alanine,0.05
kynurenine,x4_acetamidobutanoate,0.05
kynurenine,x4_hydroxyhippurate,0.05
kynurenine,bilirubin,0.05
kynurenine,biliverdin,0.05
kynurenine,dmgv,0.05
kynurenine,hippurate,0.05
kynurenine,homoarginine,0.05
kynurenine,n2_n2_dimethylguanosine,0.05
kynurenine,n6_n6_dimethyllysine,0.05
kynurenine,n6_methyllysine,0.05
kynurenine,n_acetylputrescine,0.05
kynurenine,trigonelline,0.05
kynurenine,x2_aminobutyrate,0.2
kynurenine,x3_hydroxymethylglutarate,0.15
kynurenine,x3_methyladipate_pimelate,0.1
kynurenine,adonitol_arabitol,0.15
kynurenine,amp,0.2
kynurenine,glucuronate,0.3
lactate,serine,0.05
lactate,histidine,0.05
lactate,lysine,0.05
lactate,leucine,0.05
lactate,tryptophan,0.05
lactate,proline,0.05
lactate,hydroxyproline,0.05
lactate,gaba,0.05
lactate,x2_aminoisobutyric_acid,0.05
lactate,histamine,0.05
lactate,n_carbamoyl_beta_alanine,0.05
lactate,x4_acetamidobutanoate,0.05
lactate,x4_hydroxyhippurate,0.05
lactate,bilirubin,0.05
lactate,biliverdin,0.05
lactate,dmgv,0.05
lactate,hippurate,0.05
lactate,homoarginine,0.05
lactate,n2_n2_dimethylguanosine,0.05
lactate,n6_n6_dimethyllysine,0.05
lactate,n6_methyllysine,0.05
lactate,n_acetylputrescine,0.05
lactate,trigonelline,0.05
lactate,x2_aminobutyrate,0.15
lactate,x3_hydroxymethylglutarate,0.1
lactate,x3_methyladipate_pimelate,0.1
lactate,adonitol_arabitol,0.1
lactate,amp,0.1
lactate,glucuronate,0.1
lactate,kynurenine,0.5
malonate,serine,0.05
malonate,histidine,0.05
malonate,lysine,0.05
malonate,leucine,0.05
malonate,tryptophan,0.05
malonate,proline,0.05
malonate,hydroxyproline,0.05
malonate,gaba,0.05
malonate,x2_aminoisobutyric_acid,0.05
malonate,histamine,0.05
malonate,n_carbamoyl_beta_alanine,0.05
malonate,x4_acetamidobutanoate,0.05
malonate,x4_hydroxyhippurate,0.05
malonate,bilirubin,0.05
malonate,biliverdin,0.05
malonate,dmgv,0.05
malonate,hippurate,0.05
malonate,homoarginine,0.05
malonate,n2_n2_dimethylguanosine,0.05
malonate,n6_n6_dimethyllysine,0.05
malonate,n6_methyllysine,0.05
malonate,n_acetylputrescine,0.05
malonate,trigonelline,0.05
malonate,x2_aminobutyrate,0.05
malonate,x3_hydroxymethylglutarate,0.05
malonate,x3_methyladipate_pimelate,0.05
malonate,adonitol_arabitol,0.05
malonate,amp,0.05
malonate,glucuronate,0.05
malonate,kynurenine,0.15
malonate,lactate,0.45
c18_2_lpc,serine,-0.2
c18_2_lpc,histidine,-0.15
c18_2_lpc,lysine,-0.15
c18_2_lpc,leucine,-0.1
c18_2_lpc,tryptophan,-0.1
c18_2_lpc,proline,-0.1
c18_2_lpc,hydroxyproline,-0.1
c18_2_lpc,gaba,-0.15
c18_2_lpc,x2_aminoisobutyric_acid,-0.2
c18_2_lpc,histamine,-0.1
c18_2_lpc,n_carbamoyl_beta_alanine,-0.1
c18_2_lpc,x4_acetamidobutanoate,-0.1
c18_2_lpc,x4_hydroxyhippurate,-0.1
c18_2_lpc,bilirubin,-0.1
c18_2_lpc,biliverdin,-0.1
c18_2_lpc,dmgv,-0.1
c18_2_lpc,hippurate,-0.1
c18_2_lpc,homoarginine,-0.1
c18_2_lpc,n2_n2_dimethylguanosine,-0.1
c18_2_lpc,n6_n6_dimethyllysine,-0.1
c18_2_lpc,n6_methyllysine,-0.1
c18_2_lpc,n_acetylputrescine,-0.1
c18_2_lpc,trigonelline,-0.1
c18_2_lpc,x2_aminobutyrate,-0.1
c18_2_lpc,x3_hydroxymethylglutarate,-0.1
c18_2_lpc,x3_methyladipate_pimelate,-0.1
c18_2_lpc,adonitol_arabitol,-0.1
c18_2_lpc,amp,-0.1
c18_2_lpc,glucuronate,-0.1
c18_2_lpc,kynurenine,-0.1
c18_2_lpc,lactate,-0.1
c18_2_lpc,malonate,-0.1
c18_1_lpc,serine,-0.15
c18_1_lpc,histidine,-0.1
c18_1_lpc,lysine,-0.1
c18_1_lpc,leucine,-0.1
c18_1_lpc,tryptophan,-0.1
c18_1_lpc,proline,-0.1
c18_1_lpc,hydroxyproline,-0.1
c18_1_lpc,gaba,-0.1
c18_1_lpc,x2_aminoisobutyric_acid,-0.15
c18_1_lpc,histamine,-0.05
c18_1_lpc,n_carbamoyl_beta_alanine,-0.05
c18_1_lpc,x4_acetamidobutanoate,-0.05
c18_1_lpc,x4_hydroxyhippurate,-0.05
c18_1_lpc,bilirubin,-0.05
c18_1_lpc,biliverdin,-0.05
c18_1_lpc,dmgv,-0.05
c18_1_lpc,hippurate,-0.05
c18_1_lpc,homoarginine,-0.05
c18_1_lpc,n2_n2_dimethylguanosine,-0.05
c18_1_lpc,n6_n6_dimethyllysine,-0.05
c18_1_lpc,n6_methyllysine,-0.05
c18_1_lpc,n_acetylputrescine,-0.05
c18_1_lpc,trigonelline,-0.05
c18_1_lpc,x2_aminobutyrate,-0.05
c18_1_lpc,x3_hydroxymethylglutarate,-0.05
c18_1_lpc,x3_methyladipate_pimelate,-0.05
c18_1_lpc,adonitol_arabitol,-0.05
c18_1_lpc,amp,-0.05
c18_1_lpc,glucuronate,-0.05
c18_1_lpc,kynurenine,-0.05
c18_1_lpc,lactate,-0.05
c18_1_lpc,malonate,-0.05
c18_1_lpc,c18_2_lpc,0.8
c18_0_lpc,serine,-0.1
c18_0_lpc,histidine,-0.1
c18_0_lpc,lysine,-0.1
c18_0_lpc,leucine,-0.05
c18_0_lpc,tryptophan,-0.05
c18_0_lpc,proline,-0.05
c18_0_lpc,hydroxyproline,-0.05
c18_0_lpc,gaba,-0.1
c18_0_lpc,x2_aminoisobutyric_acid,-0.1
c18_0_lpc,histamine,-0.05
c18_0_lpc,n_carbamoyl_beta_alanine,-0.05
c18_0_lpc,x4_acetamidobutanoate,-0.05
c18_0_lpc,x4_hydroxyhippurate,-0.05
c18_0_lpc,bilirubin,-0.05
c18_0_lpc,biliverdin,-0.05
c18_0_lpc,dmgv,-0.05
c18_0_lpc,hippurate,-0.05
c18_0_lpc,homoarginine,-0.05
c18_0_lpc,n2_n2_dimethylguanosine,-0.05
c18_0_lpc,n6_n6_dimethyllysine,-0.05
c18_0_lpc,n6_methyllysine,-0.05
c18_0_lpc,n_acetylputrescine,-0.05
c18_0_lpc,trigonelline,-0.05
c18_0_lpc,x2_aminobutyrate,-0.05
c18_0_lpc,x3_hydroxymethylglutarate,-0.05
c18_0_lpc,x3_methyladipate_pimelate,-0.05
c18_0_lpc,adonitol_arabitol,-0.05
c18_0_lpc,amp,-0.05
c18_0_lpc,glucuronate,-0.05
c18_0_lpc,kynurenine,-0.05
c18_0_lpc,lactate,-0.05
c18_0_lpc,malonate,-0.05
c18_0_lpc,c18_2_lpc,0.65
c18_0_lpc,c18_1_lpc,0.75
c18_2_lpe,serine,-0.1
c18_2_lpe,histidine,-0.1
c18_2_lpe,lysine,-0.1
c18_2_lpe,leucine,-0.05
c18_2_lpe,tryptophan,-0.05
c18_2_lpe,proline,-0.05
c18_2_lpe,hydroxyproline,-0.05
c18_2_lpe,gaba,-0.1
c18_2_lpe,x2_aminoisobutyric_acid,-0.1
c18_2_lpe,histamine,-0.05
c18_2_lpe,n_carbamoyl_beta_alanine,-0.05
c18_2_lpe,x4_acetamidobutanoate,-0.05
c18_2_lpe,x4_hydroxyhippurate,-0.05
c18_2_lpe,bilirubin,-0.05
c18_2_lpe,biliverdin,-0.05
c18_2_lpe,dmgv,-0.05
c18_2_lpe,hippurate,-0.05
c18_2_lpe,homoarginine,-0.05
c18_2_lpe,n2_n2_dimethylguanosine,-0.05
c18_2_lpe,n6_n6_dimethyllysine,-0.05
c18_2_lpe,n6_methyllysine,-0.05
c18_2_lpe,n_acetylputrescine,-0.05
c18_2_lpe,trigonelline,-0.05
c18_2_lpe,x2_aminobutyrate,-0.05
c18_2_lpe,x3_hydroxymethylglutarate,-0.05
c18_2_lpe,x3_methyladipate_pimelate,-0.05
c18_2_lpe,adonitol_arabitol,-0.05
c18_2_lpe,amp,-0.05
c18_2_lpe,glucuronate,-0.05
c18_2_lpe,kynurenine,-0.05
c18_2_lpe,lactate,-0.05
c18_2_lpe,malonate,-0.05
c18_2_lpe,c18_2_lpc,0.5
c18_2_lpe,c18_1_lpc,0.45
c18_2_lpe,c18_0_lpc,0.4
c18_1_lpe,serine,-0.1
c18_1_lpe,histidine,-0.1
c18_1_lpe,lysine,-0.1
c18_1_lpe,leucine,-0.05
c18_1_lpe,tryptophan,-0.05
c18_1_lpe,proline,-0.05
c18_1_lpe,hydroxyproline,-0.05
c18_1_lpe,gaba,-0.1
